epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4926.37,0.6308,2.04361,0.01017,0.41986,0.31648,0.31682,0.16743,1.78811,2.41804,0.04258,2.00556e-05,2.00556e-05,2.00556e-05
40,5050.88,0.63648,2.04061,0.01015,0.41117,0.32402,0.3183,0.16963,1.79874,2.40189,0.04292,1.84518e-05,1.84518e-05,1.84518e-05
41,5175.46,0.65193,1.98391,0.01459,0.43826,0.28915,0.2979,0.15549,1.81575,2.4144,0.043,1.6848e-05,1.6848e-05,1.6848e-05
42,5297.92,0.63805,1.85135,0.01418,0.41172,0.30958,0.30435,0.15722,1.82706,2.39312,0.04328,1.52442e-05,1.52442e-05,1.52442e-05
43,5420.54,0.63336,1.83142,0.01403,0.41584,0.32046,0.30344,0.15595,1.83722,2.38993,0.0437,1.36404e-05,1.36404e-05,1.36404e-05
44,5542.37,0.63524,1.78592,0.01409,0.41907,0.31716,0.31231,0.16257,1.83498,2.38427,0.04373,1.20366e-05,1.20366e-05,1.20366e-05
45,5664.27,0.63839,1.76944,0.01407,0.43915,0.29664,0.31011,0.16214,1.83952,2.38505,0.04403,1.04328e-05,1.04328e-05,1.04328e-05
46,5786.73,0.62997,1.76876,0.01398,0.3708,0.32977,0.30928,0.16173,1.84079,2.3818,0.04397,8.829e-06,8.829e-06,8.829e-06
47,5910.05,0.63322,1.73196,0.014,0.3897,0.31756,0.31273,0.16315,1.84046,2.37831,0.04386,7.2252e-06,7.2252e-06,7.2252e-06
48,6032.12,0.63376,1.731,0.01398,0.43264,0.2983,0.31199,0.16259,1.84032,2.38109,0.04392,5.6214e-06,5.6214e-06,5.6214e-06
49,6155.79,0.62626,1.71549,0.0137,0.37728,0.33189,0.31325,0.16356,1.83777,2.38853,0.04386,4.0176e-06,4.0176e-06,4.0176e-06
50,6279.02,0.63004,1.72275,0.01398,0.38075,0.32669,0.30919,0.16072,1.84002,2.38613,0.0439,2.4138e-06,2.4138e-06,2.4138e-06
