epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,4457.8,0.76071,1.57563,0.0123,0.54701,0.3692,0.41894,0.21675,1.93176,2.11477,0.04722,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,4598.77,0.7532,1.56708,0.01222,0.54085,0.42255,0.45335,0.24182,1.8686,2.07592,0.04549,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,4739.61,0.74579,1.54396,0.01202,0.5654,0.36439,0.42694,0.22635,1.8892,2.11049,0.04591,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4879.14,0.74298,1.50992,0.01188,0.53163,0.40985,0.42555,0.21949,1.87884,2.14963,0.0458,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,5017.09,0.75501,1.53562,0.01218,0.4997,0.4595,0.46339,0.24373,1.86695,2.0463,0.04524,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,5158.51,0.73872,1.49067,0.0119,0.58606,0.41542,0.4686,0.24486,1.86131,2.10584,0.04544,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,5298.96,0.73873,1.47577,0.01195,0.56471,0.43311,0.4767,0.25068,1.87585,1.98783,0.04586,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,5439.43,0.73443,1.44323,0.01178,0.57869,0.41817,0.46121,0.24861,1.85829,2.03563,0.04514,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,5580.14,0.7286,1.45174,0.01173,0.54408,0.43675,0.46805,0.24997,1.89366,2.06353,0.04618,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,5720.05,0.73297,1.43768,0.01177,0.6208,0.42799,0.49043,0.25988,1.85736,2.03859,0.04485,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,5860.23,0.7262,1.41302,0.01171,0.54558,0.48671,0.4884,0.26806,1.86234,2.08615,0.04504,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,6000.89,0.72308,1.41568,0.0117,0.54101,0.47031,0.46595,0.25451,1.85259,1.99872,0.04462,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,6141.53,0.72427,1.40048,0.01166,0.56463,0.43153,0.46014,0.25423,1.85247,2.0588,0.04456,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,6282.45,0.71369,1.37848,0.01161,0.52332,0.46809,0.47544,0.25338,1.85732,1.99147,0.04481,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,6422.27,0.72153,1.36652,0.01163,0.55596,0.46977,0.48157,0.266,1.8482,1.96254,0.04457,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,6561.87,0.72408,1.35181,0.0116,0.6078,0.41302,0.45835,0.24305,1.84857,2.0026,0.04462,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,6703.66,0.70881,1.34371,0.01132,0.57201,0.4572,0.48806,0.26461,1.84306,1.91577,0.04472,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,6844.63,0.70952,1.31642,0.01146,0.56593,0.45014,0.45866,0.24242,1.8515,1.99038,0.04445,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,6984.99,0.71138,1.32656,0.01148,0.53094,0.46694,0.47326,0.25138,1.86057,1.97605,0.0448,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,7125.04,0.71214,1.29349,0.01131,0.55838,0.43855,0.4787,0.2495,1.86008,1.94203,0.04484,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,7266.53,0.703,1.29846,0.01135,0.53452,0.48519,0.47771,0.25987,1.8458,1.95749,0.04422,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,7408.63,0.70397,1.27417,0.01122,0.5381,0.46531,0.47441,0.24947,1.84668,1.96971,0.04456,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,7552.55,0.69857,1.27444,0.01123,0.56506,0.44708,0.48916,0.26199,1.82547,1.91356,0.04372,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,7695.83,0.7137,1.29176,0.01141,0.55163,0.47044,0.47962,0.25698,1.82596,1.91063,0.04387,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,7834.25,0.69852,1.24725,0.01114,0.52343,0.45281,0.48291,0.25802,1.82556,1.92718,0.04375,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,7975.01,0.70717,1.26368,0.01138,0.56652,0.46092,0.48365,0.26063,1.8232,1.96315,0.04368,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,8116.2,0.69578,1.23759,0.01118,0.54652,0.48221,0.49696,0.2678,1.84077,1.91749,0.04418,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,8254.33,0.70127,1.24023,0.0113,0.57593,0.45648,0.4918,0.26545,1.84592,1.93146,0.04436,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,8393.12,0.69264,1.22238,0.01109,0.61419,0.44039,0.51298,0.27957,1.84332,1.91625,0.04434,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,8533.45,0.7016,1.22218,0.01127,0.58671,0.4617,0.50883,0.28097,1.82474,1.90547,0.04381,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,8668.89,0.68626,1.20338,0.011,0.58675,0.45557,0.49918,0.26985,1.82051,1.92083,0.04376,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,8805.96,0.68647,1.18656,0.01092,0.53469,0.49518,0.50025,0.27191,1.80264,1.92497,0.04316,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,8944.2,0.6846,1.18947,0.01091,0.56549,0.47832,0.51091,0.28185,1.81587,1.8938,0.04346,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,9079.99,0.68926,1.16831,0.01098,0.52901,0.49609,0.50086,0.27542,1.80683,1.92298,0.04341,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,9218.35,0.69954,1.18071,0.01121,0.591,0.47096,0.5054,0.27474,1.82768,1.92208,0.04388,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,9355.27,0.68606,1.15888,0.01096,0.57853,0.4907,0.50774,0.27659,1.82915,1.90835,0.0441,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,9492.57,0.68026,1.1432,0.01074,0.61334,0.46887,0.52808,0.28979,1.81212,1.89468,0.0435,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,9628.65,0.68864,1.13898,0.01086,0.64586,0.43246,0.51627,0.28409,1.82004,1.88484,0.04362,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,9764.32,0.68226,1.14232,0.01085,0.57917,0.47321,0.50833,0.2777,1.81101,1.86355,0.04368,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,9900.61,0.67868,1.12117,0.01076,0.6391,0.45464,0.51602,0.2846,1.80692,1.88328,0.04333,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,10035.8,0.67227,1.12537,0.01069,0.5811,0.49566,0.5173,0.28394,1.81427,1.86511,0.0436,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,10170.4,0.67859,1.11393,0.01075,0.64532,0.44367,0.4938,0.26905,1.81532,1.86963,0.04363,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,10309,0.68219,1.10566,0.01089,0.60027,0.46236,0.49059,0.26649,1.82018,1.90376,0.04362,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,10451.3,0.67266,1.1109,0.01064,0.62591,0.46895,0.50724,0.27523,1.82411,1.88567,0.04373,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,10593.8,0.67465,1.09754,0.01076,0.62874,0.4589,0.51124,0.28216,1.8079,1.87705,0.04332,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,10735.8,0.67615,1.08912,0.01078,0.635,0.47216,0.52801,0.28944,1.79271,1.85747,0.04277,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,10877.3,0.66345,1.07369,0.01057,0.61288,0.48743,0.53067,0.2953,1.79432,1.87215,0.04273,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,11020.4,0.67018,1.08326,0.01064,0.63879,0.47801,0.52787,0.2953,1.78937,1.86932,0.04261,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,11159,0.662,1.0728,0.01051,0.60282,0.48738,0.51989,0.28993,1.8092,1.86497,0.04315,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,11300.1,0.67828,1.07591,0.01076,0.61608,0.47426,0.53677,0.2993,1.80531,1.88949,0.04289,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,11442.7,0.65599,1.05095,0.0104,0.63987,0.45421,0.53452,0.29451,1.80743,1.88182,0.04309,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,11582.2,0.66147,1.05376,0.01061,0.59776,0.49229,0.52371,0.29241,1.8047,1.89796,0.04312,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,11723.5,0.65564,1.04932,0.01041,0.61189,0.49673,0.51761,0.2883,1.80002,1.86934,0.04308,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,11864.5,0.65159,1.03605,0.01035,0.58543,0.50753,0.50919,0.28458,1.78966,1.86005,0.04283,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,12006.1,0.65857,1.0239,0.01037,0.65115,0.46879,0.52176,0.29159,1.7839,1.85535,0.04266,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,12148.6,0.64771,1.02044,0.01024,0.65193,0.46483,0.51711,0.29029,1.79389,1.85413,0.04308,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,12286.3,0.66052,1.02111,0.01042,0.59423,0.48449,0.51903,0.29017,1.78384,1.86562,0.04281,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,12422.3,0.64934,0.9981,0.01028,0.58691,0.49562,0.51841,0.28848,1.79327,1.86008,0.04318,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,12560.3,0.65913,1.01011,0.01038,0.61909,0.48516,0.52927,0.29378,1.80478,1.83168,0.04343,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,12698.1,0.66033,1.00794,0.01036,0.59939,0.49684,0.53014,0.29634,1.80815,1.83572,0.04334,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,12835.2,0.6485,1.01004,0.0103,0.60851,0.49095,0.52807,0.2969,1.79932,1.84479,0.04292,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,12974.9,0.64377,0.98223,0.01013,0.5852,0.49901,0.52731,0.30044,1.79409,1.84267,0.04272,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,13111.7,0.65192,0.98213,0.01037,0.62991,0.47017,0.52441,0.29504,1.79289,1.85151,0.04279,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,13248.4,0.64991,0.99428,0.01023,0.61476,0.47698,0.53539,0.29916,1.79078,1.84083,0.04282,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,13384.2,0.63165,0.98628,0.00992,0.65083,0.45416,0.53618,0.30118,1.78321,1.83938,0.04262,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,13522.1,0.6437,0.96762,0.01012,0.6745,0.43852,0.5339,0.30187,1.77489,1.85186,0.04242,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,13662.2,0.63888,0.9686,0.0101,0.67073,0.44556,0.53701,0.30453,1.77121,1.84994,0.04222,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,13801.7,0.64513,0.97187,0.0102,0.66419,0.4438,0.53214,0.30145,1.76691,1.85598,0.04211,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,13939.5,0.63966,0.95044,0.01008,0.68172,0.42784,0.52608,0.29618,1.76793,1.85552,0.04222,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,14077.7,0.64022,0.93421,0.01009,0.69122,0.43413,0.53256,0.30067,1.77076,1.85583,0.04223,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,14213.5,0.63833,0.93092,0.01008,0.65735,0.44966,0.53355,0.2986,1.77529,1.86298,0.04238,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
