epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4673.91,0.74594,1.49373,0.01202,0.50971,0.42718,0.45868,0.25118,1.86493,2.08665,0.04497,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4815.37,0.73178,1.46737,0.01176,0.56654,0.41099,0.46286,0.25292,1.85345,2.05496,0.0446,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4957.65,0.73491,1.44552,0.01172,0.53535,0.44897,0.46577,0.2465,1.85818,2.03036,0.04509,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5100.41,0.74068,1.45534,0.01188,0.5064,0.46196,0.45461,0.24835,1.84143,2.0462,0.04462,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5244.25,0.73207,1.42078,0.01174,0.51473,0.4522,0.45063,0.24171,1.88249,2.06266,0.04552,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5386.77,0.72374,1.39768,0.01167,0.55474,0.467,0.47696,0.25627,1.86965,1.99613,0.04515,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5528.74,0.72086,1.36517,0.01148,0.58318,0.42399,0.48202,0.2601,1.85119,1.99843,0.04472,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5672.15,0.71782,1.36258,0.01147,0.5281,0.44277,0.46414,0.2481,1.89161,1.99075,0.04569,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5815.47,0.71685,1.35589,0.01139,0.55908,0.42541,0.46366,0.24727,1.87185,1.99015,0.04512,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5958.79,0.70813,1.32138,0.01128,0.56118,0.44664,0.47493,0.26159,1.85181,1.99136,0.04451,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6100.79,0.70436,1.30866,0.01139,0.62499,0.39866,0.46382,0.25187,1.85269,1.99839,0.04448,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6244.13,0.70667,1.29496,0.01128,0.57943,0.45107,0.47798,0.25866,1.87056,1.94246,0.04494,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6386.35,0.69333,1.28114,0.01118,0.55018,0.42835,0.47243,0.25219,1.84253,1.96102,0.04456,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6528.17,0.70276,1.26768,0.01129,0.63419,0.4313,0.47913,0.25813,1.84958,1.95029,0.04462,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6670.86,0.69841,1.248,0.01118,0.62459,0.44427,0.47837,0.25971,1.86355,1.96486,0.04458,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6813.3,0.68558,1.22018,0.01087,0.60383,0.42832,0.47711,0.26425,1.8265,1.97631,0.04403,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6955.09,0.68168,1.21582,0.01097,0.56974,0.44663,0.48511,0.2688,1.85421,1.98526,0.04461,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7098.03,0.69015,1.20233,0.0111,0.60304,0.47313,0.50586,0.27399,1.85161,1.9405,0.04477,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7241.39,0.68315,1.18456,0.01078,0.62724,0.44683,0.49518,0.27087,1.85196,1.94956,0.04458,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
