epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4776.09,0.7496,1.53619,0.01212,0.55225,0.40205,0.4313,0.22507,1.88427,2.15702,0.04583,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4917.96,0.74149,1.51224,0.01198,0.55485,0.37059,0.42818,0.22784,1.84793,2.13076,0.04445,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5059.93,0.74097,1.4925,0.01187,0.53302,0.37866,0.4257,0.21669,1.88631,2.16034,0.04598,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5202.59,0.74724,1.49636,0.01205,0.57953,0.41396,0.44343,0.23125,1.84855,2.1046,0.04493,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,5343.57,0.73622,1.46362,0.01187,0.53955,0.43147,0.44626,0.23564,1.87484,2.06845,0.04541,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,5487.83,0.73456,1.44857,0.01185,0.5174,0.4541,0.45897,0.24323,1.85969,2.08211,0.04508,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,5629.23,0.72984,1.41413,0.01164,0.54305,0.45849,0.45738,0.2458,1.87293,2.07506,0.04516,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5772.98,0.72724,1.4032,0.01164,0.55037,0.43845,0.46825,0.24534,1.89522,2.00235,0.04569,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5916.6,0.72906,1.40631,0.01164,0.59835,0.39825,0.45178,0.24069,1.86506,2.04963,0.04523,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,6058.98,0.71893,1.38101,0.01149,0.55205,0.42775,0.45686,0.24806,1.88005,2.0694,0.04559,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,6202.49,0.71759,1.36895,0.01162,0.57164,0.42879,0.46416,0.25353,1.85694,1.99343,0.0448,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,6345.59,0.72084,1.349,0.01155,0.55643,0.41802,0.4531,0.24295,1.87614,2.01544,0.04525,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,6488.78,0.71131,1.34167,0.01152,0.52112,0.45925,0.4776,0.26117,1.84967,1.99039,0.04469,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,6630.95,0.72017,1.33014,0.0116,0.51629,0.45766,0.47518,0.2535,1.86265,1.96309,0.0452,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,6774.78,0.71577,1.30971,0.01149,0.57818,0.42188,0.47138,0.25695,1.85008,1.9846,0.04436,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,6918.07,0.70563,1.29531,0.01128,0.59198,0.44228,0.48527,0.26273,1.86482,1.93284,0.04494,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,7060.59,0.70278,1.29373,0.01137,0.58935,0.43347,0.48186,0.25893,1.86715,1.97063,0.04506,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,7202.58,0.70962,1.27753,0.01145,0.49947,0.45797,0.47137,0.24838,1.86167,1.94351,0.04495,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,7344.13,0.71073,1.25114,0.01132,0.56698,0.48237,0.49064,0.25832,1.86073,1.91774,0.04465,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,7486.25,0.70187,1.25247,0.01131,0.58598,0.48664,0.48106,0.25601,1.86467,1.93675,0.04483,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,7629.93,0.69824,1.23812,0.0111,0.59278,0.42165,0.46927,0.24655,1.85927,1.94735,0.04484,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
