epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4648.61,0.74995,1.57073,0.01216,0.4921,0.41922,0.43786,0.23652,1.88457,2.17352,0.04529,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,4790.19,0.74549,1.54973,0.01207,0.49415,0.4223,0.43342,0.23087,1.87113,2.17893,0.04515,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4932.78,0.74581,1.53279,0.01197,0.5038,0.44914,0.45938,0.24614,1.88978,2.06844,0.04591,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,5074.88,0.75722,1.53787,0.01222,0.5024,0.44303,0.46075,0.24377,1.93446,2.0752,0.04707,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,5216.66,0.74196,1.49802,0.01194,0.52581,0.45588,0.47193,0.24937,1.91281,2.1276,0.04641,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,5358.92,0.74119,1.49316,0.012,0.51061,0.46874,0.47503,0.25116,1.8779,2.02215,0.04578,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,5499.75,0.73528,1.45933,0.01177,0.62222,0.39203,0.46193,0.24047,1.9134,2.0556,0.04636,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,5640.71,0.73438,1.45846,0.01187,0.55,0.40244,0.44445,0.24138,1.88207,2.09415,0.04557,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,5783.5,0.73428,1.45612,0.0118,0.55615,0.41852,0.46553,0.24669,1.88155,2.01749,0.04511,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,5925.81,0.72604,1.42397,0.01167,0.53227,0.44584,0.46941,0.24551,1.87518,2.04676,0.04537,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,6067.81,0.72499,1.43491,0.01179,0.54705,0.47431,0.46057,0.24439,1.87905,2.01688,0.04524,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,6209.08,0.72905,1.40599,0.01172,0.57717,0.44344,0.46591,0.2506,1.85387,2.03695,0.04491,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,6350.9,0.71642,1.39773,0.01166,0.48085,0.44593,0.43325,0.2244,1.88946,2.05519,0.04604,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,6491.28,0.72343,1.38946,0.0117,0.58533,0.4243,0.47816,0.26078,1.86253,2.00982,0.04498,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,6632.33,0.72705,1.38153,0.01172,0.52747,0.46135,0.48255,0.25899,1.87636,2.01777,0.04523,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,6774.36,0.7166,1.3489,0.0115,0.5556,0.46314,0.48912,0.26801,1.84924,1.98629,0.04434,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,6916.45,0.71177,1.35357,0.01158,0.58351,0.45013,0.49728,0.2757,1.87879,2.0057,0.04537,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,7058.19,0.71924,1.35406,0.01167,0.60282,0.47721,0.49873,0.26411,1.86546,1.9711,0.04496,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,7200.27,0.72173,1.3168,0.01152,0.61197,0.45113,0.50503,0.27359,1.87982,1.97102,0.04565,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,7342.52,0.70855,1.32457,0.01146,0.63052,0.43482,0.49971,0.26514,1.86612,1.95742,0.04504,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,7483.15,0.71032,1.31616,0.01137,0.5941,0.45184,0.50913,0.27495,1.85695,1.98054,0.04446,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,7623.93,0.70684,1.30084,0.01136,0.59289,0.46035,0.49293,0.26366,1.85623,1.95772,0.04476,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,7764.93,0.72193,1.33524,0.01162,0.6131,0.4492,0.49561,0.26466,1.85463,1.93004,0.04455,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,7905.81,0.69996,1.28718,0.01122,0.58432,0.47291,0.49736,0.26752,1.83904,1.92205,0.04399,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,8047.12,0.71132,1.2838,0.01148,0.58189,0.47505,0.50124,0.26906,1.85895,1.93801,0.04479,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,8188.31,0.70187,1.27334,0.01131,0.59167,0.46371,0.49873,0.26528,1.85451,1.94314,0.04431,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,8331.35,0.70888,1.27486,0.01147,0.58611,0.47774,0.50451,0.26601,1.85202,1.95225,0.04444,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,8472.66,0.70291,1.25699,0.0113,0.57315,0.46859,0.50191,0.26123,1.86521,1.94498,0.04479,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,8613.79,0.71031,1.25457,0.01146,0.58255,0.49928,0.52543,0.27393,1.85825,1.91753,0.04452,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,8753.55,0.69858,1.24212,0.01128,0.61364,0.49148,0.52015,0.27915,1.83526,1.88138,0.04387,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,8896.42,0.69164,1.22925,0.01104,0.6208,0.44345,0.50396,0.27214,1.84042,1.87921,0.04394,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,9038.12,0.69302,1.22045,0.01106,0.54436,0.53204,0.51594,0.28224,1.83387,1.8805,0.04378,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
